Step,Training Loss
456,2.252800
457,2.049600
458,2.268500
459,1.905600
460,2.369200
461,2.078100
462,1.821700
463,1.739400
464,1.981400
465,1.103500
466,1.845200
467,2.264100
468,2.070100
469,1.914800
470,1.646100
471,2.070500
472,1.988000
473,1.891500
474,1.572000
475,2.008100
476,2.483800
477,2.125200
478,2.059100
479,1.526800
480,2.060500
481,2.057100
482,2.135600
483,2.285300
484,1.984800
485,2.371700
486,2.430700
487,2.222700
488,2.331600
489,1.881600
490,1.602900
491,2.291400
492,2.426400
493,1.816500
494,1.798600
495,1.591100
496,2.277100
497,1.638700
498,1.729500
499,1.976900
500,2.016200
501,1.964400
502,1.735800
503,1.752200
504,2.402300
505,1.933200
506,2.327000
507,1.644900
508,2.130200
509,2.075100
510,2.054500
511,1.800500
512,2.029600
513,1.106300
514,1.939600
515,2.129200
516,2.123100
517,2.113700
518,2.177100
519,1.928000
520,1.365600
521,1.678400
522,1.869900
523,1.989900
524,1.621800
525,2.077800
526,1.942200
527,1.985500
528,1.944600
529,1.976300
530,1.683300
531,1.771600
532,1.808200
533,2.030900
534,1.905000
535,1.902200
536,2.099100
537,1.714500
538,1.873700
539,1.997000
540,2.125500
541,1.681100
542,1.790900
543,1.995600
544,2.026100
545,1.973400
546,2.003500
547,1.917100
548,2.320800
549,2.111900
550,1.920800
551,1.877800
552,2.218800
553,2.224100
554,2.383900
555,1.809200
556,2.016600
557,2.002200
558,2.109100
559,1.820300
560,2.018800
561,2.018400
562,1.905200
563,1.838700
564,1.807300
565,2.043100
566,2.096100
567,1.896500
568,1.924500
569,2.361300
570,2.191300
571,1.918500
572,1.822700
573,2.056800
574,1.812000
575,2.084200
576,1.367300
577,1.627300
578,1.856800
579,2.062700
580,1.882500
581,1.908700
582,1.657800
583,1.760000
584,1.757100
585,2.222600
586,1.929700
587,2.044500
588,2.028900
589,2.026100
590,1.325200
591,2.091100
592,1.857200
593,1.875700
594,1.944400
595,1.979000
596,2.111800
597,1.927200
598,1.864100
599,1.757200
600,2.077000
601,1.758200
602,2.168200
603,1.871900
604,2.129400
605,1.807700
606,1.387800
607,1.437700
608,1.757000
609,2.048800
610,2.107100
611,1.921100
612,2.341100
613,1.957500
614,1.975200
615,2.329700
616,1.363100
617,2.071700
618,1.926100
619,1.726500
620,1.996000
621,0.539100
622,1.710500
623,1.753600
624,2.220500
625,1.769400
626,1.840800
627,1.805700
628,1.610400
629,1.558300
630,1.734300
631,1.753000
632,1.677900
633,1.322400
634,1.534300
635,1.940400
636,1.755600
637,2.064600
638,1.608800
639,1.733500
640,1.432500
641,1.684200
642,1.654200
643,1.774100
644,1.608200
645,2.059300
646,1.847700
647,1.708900
648,1.631900
649,1.718900
650,1.802300
651,1.797300
652,2.122700
653,2.240100
654,1.557200
655,1.678700
656,2.093000
657,1.659100
658,1.820000
659,1.721400
660,1.983400
661,1.544500
662,1.718500
663,1.862400
664,1.716800
665,1.690400
666,2.146900
667,1.687100
668,1.655800
669,2.109800
670,1.930800
671,1.834700
672,1.590700
673,1.944000
674,1.786400
675,1.868000
676,1.672800
677,2.066300
678,1.639400
679,1.405300
680,2.001400
681,1.737300
682,1.899900
683,1.911300
684,1.743200
685,1.793100
686,1.815700
687,1.711700
688,1.636900
689,1.599400
690,1.998000
691,1.683200
692,1.761100
693,1.983000
694,1.637700
695,1.957000
696,1.650400
697,1.660600
698,1.869500
699,1.934300
700,1.188100
701,1.468800
702,1.464500
703,1.386200
704,1.369300
705,1.654000
706,1.429400
707,1.522200
708,1.697000
709,1.639300
710,2.095400
711,1.814000
712,1.708700
713,1.527500
714,1.537500
715,1.753700
716,1.535700
717,1.776900
718,1.593000
719,1.400800
720,1.878400
721,1.776300
722,1.746400
723,1.402800
724,1.859400
725,1.818100
726,2.016800
727,1.806800
728,1.839400
729,1.570900
730,1.422400
731,2.078700
732,1.818500
733,2.029300
734,2.006000
735,1.177100
736,2.158600
737,1.708100
738,1.017500
739,1.430600
740,1.673100
741,1.839400
742,1.532700
743,1.665100
744,1.316600
745,1.810700
746,1.545600
747,1.451300
748,1.895100
749,1.343600
750,1.898300
751,1.976800
752,1.825800
753,1.490500
754,1.823300
755,2.238500
756,1.317300
757,1.459500
758,1.466100
759,1.686700
760,1.659900
761,1.660100
762,1.482900
763,1.924300
764,2.103000
765,1.781700
766,1.497900
767,1.903300
768,1.985400
769,2.006100
770,1.754000
771,1.471200
772,1.451100
773,1.380800
774,1.782000
775,2.061100
776,1.271800
777,1.697000
778,1.577200
779,1.899700
