Step,Training Loss
1,3.066500
2,3.410000
3,2.861900
4,2.974300
5,3.482300
6,3.435600
7,3.067000
8,3.358300
9,3.400400
10,3.441900
11,2.751900
12,2.580400
13,2.762800
14,3.108900
15,2.828400
16,3.093700
17,2.344900
18,2.867900
19,2.693900
20,2.844300
21,2.659300
22,2.544300
23,3.189400
24,2.835200
25,2.806000
26,2.991300
27,3.324800
28,2.836700
29,2.503000
30,2.697700
31,2.770100
32,2.521900
33,2.261500
34,1.815900
35,2.775100
36,2.217800
37,2.310900
38,2.520200
39,2.376500
40,2.278000
41,2.306500
42,2.399700
43,2.352300
44,2.539800
45,2.320100
46,2.009100
47,2.066800
48,2.134200
49,2.343500
50,2.115700
51,2.245700
52,2.444900
53,2.174100
54,2.371000
55,1.962800
56,2.272400
57,2.336200
58,1.818700
59,2.233600
60,2.425900
61,2.430200
62,2.298900
63,2.085700
64,2.212100
65,2.448200
66,2.380900
67,2.347200
68,1.779300
69,2.307600
70,2.166900
71,2.414300
72,2.023400
73,2.109300
74,1.962700
75,2.100900
76,1.866300
77,2.182800
78,2.270200
79,1.954200
80,2.321700
81,2.035000
82,2.272700
83,2.186400
84,1.708100
85,2.184000
86,1.632000
87,1.906800
88,2.395600
89,1.990700
90,2.601500
91,1.934500
92,2.330100
93,2.300300
94,2.041300
95,1.753300
96,2.273300
97,1.887900
98,1.840900
99,2.059200
100,2.115300
101,2.038600
102,2.215100
103,2.037900
104,2.132600
105,1.822600
106,1.566000
107,1.810500
108,2.053000
109,1.988600
110,1.820900
111,1.803400
112,2.236800
113,2.143700
114,2.080900
115,2.070300
116,2.010600
117,1.919000
118,2.326200
119,2.001900
120,1.889300
121,2.141100
122,1.878500
123,2.171000
124,2.244600
125,1.853200
126,1.633900
127,2.260100
128,1.980000
129,1.697800
130,2.026200
131,1.888900
132,1.991000
133,1.875900
134,2.144300
135,2.068700
136,1.946200
137,2.065100
138,2.242000
139,1.947300
140,2.083400
141,2.000000
142,2.382900
143,2.022800
144,2.093600
145,2.161600
146,2.183800
147,1.894600
148,1.968900
149,1.907600
150,2.042500
151,2.313800
