Step,Training Loss
1,3.994400
2,3.228100
3,3.736600
4,2.868200
5,3.336600
6,3.542000
7,2.497900
8,2.550900
9,2.676600
10,2.374800
11,2.590700
12,2.103400
13,2.209700
14,2.429100
15,1.766800
16,2.127800
17,1.910900
18,2.296400
19,2.115800
20,2.012800
21,1.954300
22,2.088500
23,1.921100
24,2.504100
25,1.889100
26,2.007300
27,2.033800
28,2.118900
29,1.945500
30,1.914100
31,2.185600
32,2.273500
33,2.101300
34,1.939200
35,1.796000
36,1.998800
37,2.386300
38,1.923900
39,2.372000
40,1.733300
41,1.623400
42,2.116300
43,2.125000
44,1.895700
45,2.523500
46,2.107800
47,2.061000
48,2.351800
49,2.523000
50,2.000400
51,1.822300
52,2.456400
53,2.014200
54,1.719300
55,1.499400
56,1.969000
57,2.079300
58,2.024200
59,2.148300
60,2.129200
61,2.102000
62,1.769300
63,1.655300
64,2.145100
65,2.054600
66,2.346200
67,2.095000
68,1.871600
69,1.925800
70,2.173200
71,2.169000
72,2.467000
73,1.530000
74,2.041700
75,1.957800
76,1.855600
77,1.783500
78,1.869400
79,1.663800
80,1.598300
81,1.798400
82,2.337300
83,1.709300
84,1.840900
85,1.892500
86,1.982600
87,1.764100
88,1.721600
89,2.071600
90,1.928800
91,1.862500
92,2.184400
93,1.624200
94,1.684800
95,2.268800
96,1.997500
97,1.651100
98,2.197900
99,2.189700
100,1.969600
101,0.960500
102,0.820300
103,1.561400
104,1.854400
105,1.859400
106,1.870300
107,1.899700
108,2.149600
109,1.745800
110,1.582300
111,1.836700
112,2.556600
113,1.853300
114,1.481900
115,1.883900
116,2.291400
117,2.017600
118,2.283900
119,1.957400
120,2.383500
121,1.916000
122,2.061200
123,1.998200
124,2.169500
125,1.766300
126,2.119500
127,2.272400
128,1.855500
129,1.734500
130,1.999100
131,1.909500
132,1.644800
133,1.952100
134,1.718300
135,2.385400
136,1.900200
137,2.185400
138,2.020800
139,2.093600
140,2.282900
141,1.910900
142,1.928100
143,2.139500
144,2.053400
145,2.298200
146,1.948100
147,2.280000
148,1.980400
149,2.247500
150,1.810500
151,1.805600
152,2.033600
153,1.932900
154,1.771300
155,2.058200
156,1.837600
157,2.023600
158,1.872800
159,1.970400
160,1.625300
161,2.227300
162,1.897200
163,2.011100
164,2.107300
165,2.266300
166,1.933900
167,1.817700
168,2.050500
169,1.903200
170,2.085100
171,2.039600
172,1.906800
173,2.001300
174,1.908400
175,2.107100
176,2.017000
177,1.931200
178,1.963300
179,2.126200
180,2.035200
181,2.488700
182,2.202800
183,1.876700
184,2.389400
185,2.136400
186,1.719700
187,2.105800
188,1.961700
189,1.945700
190,2.030400
191,1.805900
192,2.078400
193,2.012300
194,1.919000
195,1.893500
196,2.229000
197,1.938800
198,1.964900
199,2.310300
200,2.100000
201,1.977200
202,2.423100
203,2.453700
204,2.186000
205,1.938500
206,1.574900
207,1.966700
208,2.060900
209,1.575200
210,1.981700
211,2.070700
212,2.139300
213,1.745300
214,1.876500
215,2.274000
216,2.023100
217,2.226600
218,2.006900
219,2.060500
220,2.071500
221,1.980600
222,1.924100
223,2.178600
