Step,Training Loss
1,4.097600
2,3.513000
3,3.581600
4,3.175400
5,3.474600
6,2.890100
7,3.168500
8,2.700800
9,2.456400
10,2.530400
11,2.530700
12,2.248900
13,2.232300
14,2.662500
15,2.405900
16,2.688400
17,2.427600
18,2.571000
19,2.522500
20,2.616700
21,2.150800
22,2.618000
23,2.369000
24,2.375300
25,2.340900
26,2.412900
27,2.291300
28,2.117700
29,2.025000
30,1.962100
31,2.402200
32,2.385600
33,2.273800
34,2.191900
35,2.230600
36,2.337200
37,2.361700
38,2.252800
39,2.489800
40,2.321400
41,2.571200
42,2.545900
43,2.093300
44,2.255600
45,2.292700
46,2.283400
47,2.336600
48,1.953700
49,2.289300
50,2.069400
51,2.202600
52,2.184000
53,2.315200
54,2.440200
55,2.253300
56,2.130300
57,2.529000
58,2.605900
59,2.379800
60,1.756500
61,2.614900
62,2.491800
63,2.117300
64,2.230400
65,2.399700
66,2.119400
67,2.294600
68,2.535100
69,2.159700
70,2.386300
71,2.503000
72,2.259800
73,2.189400
74,2.245300
75,2.440900
76,2.189400
77,2.006300
78,2.505200
79,2.177400
80,2.140800
81,2.630700
82,2.335000
83,2.337600
84,2.429900
85,2.124900
86,2.711900
87,2.012000
88,2.321400
89,2.169800
90,2.102200
91,1.837800
92,2.149300
93,2.135200
94,2.533100
95,2.350000
96,2.462700
97,2.168300
98,2.545600
99,2.267100
100,2.470700
101,2.346600
102,2.491600
103,2.236800
104,2.316800
105,2.228300
106,2.264600
107,2.491400
108,2.099200
109,1.884500
110,1.900200
111,2.785100
112,2.171900
113,2.274100
114,2.010300
115,2.362900
116,2.327500
117,2.013000
118,2.549000
119,2.145900
120,2.369100
121,2.453500
122,2.081600
123,1.996600
124,1.568100
125,1.778000
126,2.159000
127,1.986000
128,2.357400
129,2.155900
130,2.239100
131,2.394900
132,2.265300
133,2.655700
134,2.677200
135,2.372500
136,2.404500
137,2.221200
138,2.426100
139,2.100300
140,1.959100
141,2.630900
142,2.003600
143,2.131200
144,2.503400
145,2.058500
146,1.983000
147,2.003500
148,2.374100
149,2.169400
150,2.260600
151,2.220200
152,2.104300
153,2.465400
154,2.265000
155,2.324500
156,1.795000
157,2.106200
158,1.545400
159,2.533200
160,1.993500
161,2.410600
162,2.199500
163,2.200200
164,2.251900
165,2.288100
166,2.366100
167,1.824700
168,2.282600
169,2.323300
170,2.562600
171,2.713500
172,2.353800
173,2.095500
174,2.226400
175,2.344500
176,2.256300
177,2.186800
178,2.390100
179,2.615600
180,2.433500
181,2.231000
182,2.280400
183,2.425900
184,2.211700
185,2.068900
186,2.433000
187,2.254300
188,1.954800
189,2.346900
190,1.956900
191,2.300800
192,2.236700
193,1.938300
194,3.021600
195,2.198600
196,2.144100
197,2.052300
198,2.300600
199,2.225800
200,2.424800
201,2.234400
202,2.264100
203,2.109000
204,2.452100
205,1.523400
206,2.090200
207,2.347300
208,2.172600
209,2.248900
210,2.436800
211,2.218000
212,2.601700
213,2.366200
214,2.443000
